date_race;GP_name;round;circuitId;raceId;resultId;constructorId;constructor_name;constructor_nationality;driverId;code;driver_forename;driver_surname;number;driver_nationality;grid_position;final_position;win;points_scored;total_time_laps;fastestLapTime;rank_fastestLapTime;fastestLapSpeed;statusId;status
2019-03-17;Australian Grand Prix;1;1;1010;24206;6;Ferrari;Italian;20;VET;Sebastian;Vettel;5.0;German;3;4;0;12.0;+57.109;1:27.954;8.0;217.054;1;Finished
2019-03-17;Australian Grand Prix;1;1;1010;24213;9;Red Bull;Austrian;842;GAS;Pierre;Gasly;10.0;French;17;11;0;0.0;;1:27.229;5.0;218.858;11;+1 Lap
2019-03-17;Australian Grand Prix;1;1;1010;24217;51;Alfa Romeo;Italian;841;GIO;Antonio;Giovinazzi;99.0;Italian;14;15;0;0.0;;1:28.479;14.0;215.766;11;+1 Lap
2019-03-17;Australian Grand Prix;1;1;1010;24221;4;Renault;French;817;RIC;Daniel;Ricciardo;3.0;Australian;12;19;0;0.0;;1:29.848;19.0;212.47799999999998;137;Damage
2019-03-17;Australian Grand Prix;1;1;1010;24219;3;Williams;British;9;KUB;Robert;Kubica;88.0;Polish;20;17;0;0.0;;1:29.284;18.0;213.821;13;+3 Laps
2019-03-17;Australian Grand Prix;1;1;1010;24204;131;Mercedes;German;1;HAM;Lewis;Hamilton;44.0;British;1;2;0;18.0;+20.886;1:26.057;2.0;221.83900000000003;1;Finished
2019-03-17;Australian Grand Prix;1;1;1010;24215;211;Racing Point;British;815;PER;Sergio;Pérez;11.0;Mexican;10;13;0;0.0;;1:28.485;15.0;215.75099999999998;11;+1 Lap
2019-03-17;Australian Grand Prix;1;1;1010;24211;211;Racing Point;British;840;STR;Lance;Stroll;18.0;Canadian;16;9;0;2.0;;1:27.568;7.0;218.011;11;+1 Lap
2019-03-17;Australian Grand Prix;1;1;1010;24210;51;Alfa Romeo;Italian;8;RAI;Kimi;Räikkönen;7.0;Finnish;9;8;0;4.0;;1:28.270;11.0;216.27700000000002;11;+1 Lap
2019-03-17;Australian Grand Prix;1;1;1010;24205;9;Red Bull;Austrian;830;VER;Max;Verstappen;33.0;Dutch;4;3;0;15.0;+22.520;1:26.256;3.0;221.327;1;Finished
2019-03-17;Australian Grand Prix;1;1;1010;24216;5;Toro Rosso;Italian;848;ALB;Alexander;Albon;23.0;Thai;13;14;0;0.0;;1:28.188;10.0;216.47799999999998;11;+1 Lap
2019-03-17;Australian Grand Prix;1;1;1010;24218;3;Williams;British;847;RUS;George;Russell;63.0;British;19;16;0;0.0;;1:28.713;17.0;215.197;12;+2 Laps
2019-03-17;Australian Grand Prix;1;1;1010;24220;210;Haas F1 Team;American;154;GRO;Romain;Grosjean;8.0;French;6;18;0;0.0;;1:28.462;13.0;215.80700000000002;36;Wheel
2019-03-17;Australian Grand Prix;1;1;1010;24214;1;McLaren;British;846;NOR;Lando;Norris;4.0;British;8;12;0;0.0;;1:28.555;16.0;215.581;11;+1 Lap
2019-03-17;Australian Grand Prix;1;1;1010;24203;131;Mercedes;German;822;BOT;Valtteri;Bottas;77.0;Finnish;2;1;1;26.0;1:25:27.325;1:25.580;1.0;223.075;1;Finished
2019-03-17;Australian Grand Prix;1;1;1010;24212;5;Toro Rosso;Italian;826;KVY;Daniil;Kvyat;26.0;Russian;15;10;0;1.0;;1:27.448;6.0;218.31;11;+1 Lap
2019-03-17;Australian Grand Prix;1;1;1010;24222;1;McLaren;British;832;SAI;Carlos;Sainz;55.0;Spanish;18;20;0;0.0;;1:30.899;20.0;210.02200000000002;5;Engine
2019-03-17;Australian Grand Prix;1;1;1010;24209;4;Renault;French;807;HUL;Nico;Hülkenberg;27.0;German;11;7;0;6.0;;1:28.444;12.0;215.851;11;+1 Lap
2019-03-17;Australian Grand Prix;1;1;1010;24207;6;Ferrari;Italian;844;LEC;Charles;Leclerc;16.0;Monegasque;5;5;0;10.0;+58.203;1:26.926;4.0;219.62099999999998;1;Finished
2019-03-17;Australian Grand Prix;1;1;1010;24208;210;Haas F1 Team;American;825;MAG;Kevin;Magnussen;20.0;Danish;7;6;0;8.0;+1:27.156;1:28.182;9.0;216.493;1;Finished
2019-03-31;Bahrain Grand Prix;2;3;1011;24225;6;Ferrari;Italian;844;LEC;Charles;Leclerc;16.0;Monegasque;1;3;0;16.0;+6.131;1:33.411;1.0;208.575;1;Finished
2019-03-31;Bahrain Grand Prix;2;3;1011;24241;1;McLaren;British;832;SAI;Carlos;Sainz;55.0;Spanish;7;19;0;0.0;;1:35.586;10.0;203.829;130;Collision damage
2019-03-31;Bahrain Grand Prix;2;3;1011;24237;3;Williams;British;847;RUS;George;Russell;63.0;British;19;15;0;0.0;;1:37.313;19.0;200.21099999999998;11;+1 Lap
2019-03-31;Bahrain Grand Prix;2;3;1011;24235;210;Haas F1 Team;American;825;MAG;Kevin;Magnussen;20.0;Danish;6;13;0;0.0;;1:35.892;13.0;203.178;11;+1 Lap
2019-03-31;Bahrain Grand Prix;2;3;1011;24238;3;Williams;British;9;KUB;Robert;Kubica;88.0;Polish;20;16;0;0.0;;1:37.903;20.0;199.005;12;+2 Laps
2019-03-31;Bahrain Grand Prix;2;3;1011;24231;5;Toro Rosso;Italian;848;ALB;Alexander;Albon;23.0;Thai;12;9;0;2.0;+1:02.697;1:36.752;16.0;201.372;1;Finished
2019-03-31;Bahrain Grand Prix;2;3;1011;24229;51;Alfa Romeo;Italian;8;RAI;Kimi;Räikkönen;7.0;Finnish;8;7;0;6.0;+47.470;1:35.589;11.0;203.822;1;Finished
2019-03-31;Bahrain Grand Prix;2;3;1011;24240;4;Renault;French;817;RIC;Daniel;Ricciardo;3.0;Australian;10;18;0;0.0;;1:36.697;15.0;201.487;60;Out of fuel
2019-03-31;Bahrain Grand Prix;2;3;1011;24234;5;Toro Rosso;Italian;826;KVY;Daniil;Kvyat;26.0;Russian;15;12;0;0.0;;1:34.934;5.0;205.22799999999998;11;+1 Lap
2019-03-31;Bahrain Grand Prix;2;3;1011;24230;9;Red Bull;Austrian;842;GAS;Pierre;Gasly;10.0;French;13;8;0;4.0;+58.094;1:35.291;8.0;204.46;1;Finished
2019-03-31;Bahrain Grand Prix;2;3;1011;24226;9;Red Bull;Austrian;830;VER;Max;Verstappen;33.0;Dutch;5;4;0;12.0;+6.408;1:35.311;9.0;204.417;1;Finished
2019-03-31;Bahrain Grand Prix;2;3;1011;24223;131;Mercedes;German;1;HAM;Lewis;Hamilton;44.0;British;3;1;1;25.0;1:34:21.295;1:33.528;2.0;208.31400000000002;1;Finished
2019-03-31;Bahrain Grand Prix;2;3;1011;24227;6;Ferrari;Italian;20;VET;Sebastian;Vettel;5.0;German;2;5;0;10.0;+36.068;1:34.895;4.0;205.313;1;Finished
2019-03-31;Bahrain Grand Prix;2;3;1011;24224;131;Mercedes;German;822;BOT;Valtteri;Bottas;77.0;Finnish;4;2;0;18.0;+2.980;1:34.209;3.0;206.808;1;Finished
2019-03-31;Bahrain Grand Prix;2;3;1011;24228;1;McLaren;British;846;NOR;Lando;Norris;4.0;British;9;6;0;8.0;+45.754;1:35.777;12.0;203.422;1;Finished
2019-03-31;Bahrain Grand Prix;2;3;1011;24233;51;Alfa Romeo;Italian;841;GIO;Antonio;Giovinazzi;99.0;Italian;16;11;0;0.0;+1:04.599;1:35.237;7.0;204.575;1;Finished
2019-03-31;Bahrain Grand Prix;2;3;1011;24236;211;Racing Point;British;840;STR;Lance;Stroll;18.0;Canadian;18;14;0;0.0;;1:37.037;17.0;200.78099999999998;11;+1 Lap
2019-03-31;Bahrain Grand Prix;2;3;1011;24232;211;Racing Point;British;815;PER;Sergio;Pérez;11.0;Mexican;14;10;0;1.0;+1:03.696;1:36.330;14.0;202.25400000000002;1;Finished
2019-03-31;Bahrain Grand Prix;2;3;1011;24242;210;Haas F1 Team;American;154;GRO;Romain;Grosjean;8.0;French;11;20;0;0.0;;1:37.262;18.0;200.31599999999997;31;Retired
