date;constructorId;statusId;raceId;resultId;driverId;number;grid;positionOrder;points;laps;time_laps;rank;fastestLapTime;fastestLapSpeed;year;round;circuitId;GP_name;status;name;nationality
2018-03-25;10;1;989;23793;839;31.0;14;12;0.0;58;+1:00.278;10.0;1:27.600;217.93099999999998;2018;1;1;Australian Grand Prix;Finished;Force India;Indian
2018-03-25;10;1;989;23792;815;11.0;12;11;0.0;58;+46.817;11.0;1:27.633;217.84900000000002;2018;1;1;Australian Grand Prix;Finished;Force India;Indian
2018-03-25;5;11;989;23796;843;28.0;16;15;0.0;57;;13.0;1:28.176;216.507;2018;1;1;Australian Grand Prix;+1 Lap;Toro Rosso;Italian
2018-03-25;4;1;989;23788;807;27.0;7;7;6.0;58;+32.671;9.0;1:27.081;219.23;2018;1;1;Australian Grand Prix;Finished;Renault;French
2018-03-25;4;1;989;23791;832;55.0;9;10;1.0;58;+45.722;12.0;1:27.944;217.079;2018;1;1;Australian Grand Prix;Finished;Renault;French
2018-03-25;9;1;989;23785;817;3.0;8;4;12.0;58;+7.069;1.0;1:25.945;222.128;2018;1;1;Australian Grand Prix;Finished;Red Bull;Austrian
2018-03-25;15;1;989;23794;844;16.0;18;13;0.0;58;+1:15.759;15.0;1:28.759;215.085;2018;1;1;Australian Grand Prix;Finished;Sauber;Swiss
2018-03-25;6;1;989;23784;8;7.0;2;3;15.0;58;+6.309;2.0;1:26.373;221.02700000000002;2018;1;1;Australian Grand Prix;Finished;Ferrari;Italian
2018-03-25;6;1;989;23782;20;5.0;3;1;25.0;58;1:29:33.283;4.0;1:26.469;220.782;2018;1;1;Australian Grand Prix;Finished;Ferrari;Italian
2018-03-25;131;1;989;23789;822;77.0;15;8;4.0;58;+34.339;8.0;1:27.019;219.386;2018;1;1;Australian Grand Prix;Finished;Mercedes;German
2018-03-25;131;1;989;23783;1;44.0;1;2;18.0;58;+5.036;3.0;1:26.444;220.845;2018;1;1;Australian Grand Prix;Finished;Mercedes;German
2018-03-25;210;36;989;23798;825;20.0;5;17;0.0;22;;17.0;1:29.534;213.22400000000002;2018;1;1;Australian Grand Prix;Wheel;Haas F1 Team;American
2018-03-25;9;1;989;23787;830;33.0;4;6;8.0;58;+28.945;5.0;1:26.880;219.737;2018;1;1;Australian Grand Prix;Finished;Red Bull;Austrian
2018-03-25;1;1;989;23790;838;2.0;11;9;2.0;58;+34.921;6.0;1:26.958;219.54;2018;1;1;Australian Grand Prix;Finished;McLaren;British
2018-03-25;1;1;989;23786;4;14.0;10;5;10.0;58;+27.886;7.0;1:26.978;219.489;2018;1;1;Australian Grand Prix;Finished;McLaren;British
2018-03-25;210;36;989;23797;154;8.0;6;16;0.0;24;;16.0;1:28.805;214.97400000000002;2018;1;1;Australian Grand Prix;Wheel;Haas F1 Team;American
2018-03-25;3;1;989;23795;840;18.0;13;14;0.0;58;+1:18.288;14.0;1:28.511;215.688;2018;1;1;Australian Grand Prix;Finished;Williams;British
2018-03-25;15;38;989;23800;828;9.0;17;19;0.0;5;;19.0;1:32.210;207.03599999999997;2018;1;1;Australian Grand Prix;Steering;Sauber;Swiss
2018-03-25;3;23;989;23801;845;35.0;19;20;0.0;4;;20.0;1:32.573;206.22400000000002;2018;1;1;Australian Grand Prix;Brakes;Williams;British
2018-03-25;5;5;989;23799;842;10.0;20;18;0.0;13;;18.0;1:30.649;210.601;2018;1;1;Australian Grand Prix;Engine;Toro Rosso;Italian
2018-04-08;3;11;990;23815;840;18.0;20;14;0.0;56;;13.0;1:35.058;204.96099999999998;2018;2;3;Bahrain Grand Prix;+1 Lap;Williams;British
2018-04-08;3;11;990;23816;845;35.0;18;15;0.0;56;;3.0;1:34.053;207.15099999999998;2018;2;3;Bahrain Grand Prix;+1 Lap;Williams;British
2018-04-08;15;11;990;23813;844;16.0;19;12;0.0;56;;14.0;1:35.075;204.924;2018;2;3;Bahrain Grand Prix;+1 Lap;Sauber;Swiss
2018-04-08;210;11;990;23814;154;8.0;16;13;0.0;56;;10.0;1:34.689;205.75900000000001;2018;2;3;Bahrain Grand Prix;+1 Lap;Haas F1 Team;American
2018-04-08;9;10;990;23821;817;3.0;4;20;0.0;1;;0.0;;;2018;2;3;Bahrain Grand Prix;Electrical;Red Bull;Austrian
2018-04-08;6;1;990;23802;20;5.0;1;1;25.0;57;1:32:01.940;7.0;1:34.453;206.274;2018;2;3;Bahrain Grand Prix;Finished;Ferrari;Italian
2018-04-08;15;11;990;23810;828;9.0;17;9;2.0;56;;15.0;1:35.093;204.885;2018;2;3;Bahrain Grand Prix;+1 Lap;Sauber;Swiss
2018-04-08;4;1;990;23807;807;27.0;7;6;8.0;57;+1:39.024;9.0;1:34.667;205.80700000000002;2018;2;3;Bahrain Grand Prix;Finished;Renault;French
2018-04-08;10;11;990;23817;815;11.0;12;16;0.0;56;;17.0;1:35.266;204.513;2018;2;3;Bahrain Grand Prix;+1 Lap;Force India;Indian
2018-04-08;5;11;990;23818;843;28.0;11;17;0.0;56;;8.0;1:34.563;206.03400000000002;2018;2;3;Bahrain Grand Prix;+1 Lap;Toro Rosso;Italian
2018-04-08;9;29;990;23820;830;33.0;15;19;0.0;3;;0.0;;;2018;2;3;Bahrain Grand Prix;Puncture;Red Bull;Austrian
2018-04-08;4;11;990;23812;832;55.0;10;11;0.0;56;;18.0;1:35.535;203.937;2018;2;3;Bahrain Grand Prix;+1 Lap;Renault;French
2018-04-08;10;11;990;23811;839;31.0;8;10;1.0;56;;12.0;1:35.043;204.993;2018;2;3;Bahrain Grand Prix;+1 Lap;Force India;Indian
2018-04-08;1;11;990;23808;4;14.0;13;7;6.0;56;;4.0;1:34.168;206.898;2018;2;3;Bahrain Grand Prix;+1 Lap;McLaren;British
2018-04-08;131;1;990;23804;1;44.0;9;3;15.0;57;+6.512;2.0;1:33.953;207.37099999999998;2018;2;3;Bahrain Grand Prix;Finished;Mercedes;German
2018-04-08;131;1;990;23803;822;77.0;3;2;18.0;57;+0.699;1.0;1:33.740;207.842;2018;2;3;Bahrain Grand Prix;Finished;Mercedes;German
2018-04-08;6;36;990;23819;8;7.0;2;18;0.0;35;;6.0;1:34.337;206.52700000000002;2018;2;3;Bahrain Grand Prix;Wheel;Ferrari;Italian
2018-04-08;5;1;990;23805;842;10.0;5;4;12.0;57;+1:02.234;11.0;1:34.863;205.382;2018;2;3;Bahrain Grand Prix;Finished;Toro Rosso;Italian
2018-04-08;1;11;990;23809;838;2.0;14;8;4.0;56;;16.0;1:35.131;204.803;2018;2;3;Bahrain Grand Prix;+1 Lap;McLaren;British
2018-04-08;210;1;990;23806;825;20.0;6;5;10.0;57;+1:15.046;5.0;1:34.327;206.549;2018;2;3;Bahrain Grand Prix;Finished;Haas F1 Team;American
2018-04-15;15;1;991;23837;828;9.0;20;16;0.0;56;+1:02.604;16.0;1:38.386;199.455;2018;3;17;Chinese Grand Prix;Finished;Sauber;Swiss
2018-04-15;15;1;991;23840;844;16.0;19;19;0.0;56;+1:22.575;19.0;1:38.808;198.60299999999998;2018;3;17;Chinese Grand Prix;Finished;Sauber;Swiss
2018-04-15;9;1;991;23826;830;33.0;5;5;10.0;56;+20.436;2.0;1:36.206;203.97400000000002;2018;3;17;Chinese Grand Prix;Finished;Red Bull;Austrian
2018-04-15;6;1;991;23829;20;5.0;1;8;4.0;56;+35.286;9.0;1:37.479;201.31099999999998;2018;3;17;Chinese Grand Prix;Finished;Ferrari;Italian
2018-04-15;10;1;991;23833;815;11.0;8;12;0.0;56;+44.725;10.0;1:37.673;200.91099999999997;2018;3;17;Chinese Grand Prix;Finished;Force India;Indian
2018-04-15;10;1;991;23832;839;31.0;12;11;0.0;56;+44.050;12.0;1:37.985;200.271;2018;3;17;Chinese Grand Prix;Finished;Force India;Indian
2018-04-15;4;1;991;23830;832;55.0;9;9;2.0;56;+35.763;11.0;1:37.754;200.74400000000003;2018;3;17;Chinese Grand Prix;Finished;Renault;French
2018-04-15;4;1;991;23827;807;27.0;7;6;8.0;56;+21.052;5.0;1:36.881;202.553;2018;3;17;Chinese Grand Prix;Finished;Renault;French
2018-04-15;3;1;991;23835;840;18.0;18;14;0.0;56;+55.490;17.0;1:38.500;199.22400000000002;2018;3;17;Chinese Grand Prix;Finished;Williams;British
2018-04-15;131;1;991;23823;822;77.0;3;2;18.0;56;+8.894;6.0;1:36.987;202.332;2018;3;17;Chinese Grand Prix;Finished;Mercedes;German
2018-04-15;131;1;991;23825;1;44.0;4;4;12.0;56;+16.985;4.0;1:36.878;202.55900000000003;2018;3;17;Chinese Grand Prix;Finished;Mercedes;German
2018-04-15;5;130;991;23841;843;28.0;15;20;0.0;51;;20.0;1:39.376;197.468;2018;3;17;Chinese Grand Prix;Collision damage;Toro Rosso;Italian
2018-04-15;1;1;991;23828;4;14.0;13;7;6.0;56;+30.639;7.0;1:37.234;201.81799999999998;2018;3;17;Chinese Grand Prix;Finished;McLaren;British
2018-04-15;1;1;991;23834;838;2.0;14;13;0.0;56;+49.373;13.0;1:38.137;199.96099999999998;2018;3;17;Chinese Grand Prix;Finished;McLaren;British
2018-04-15;3;1;991;23836;845;35.0;16;15;0.0;56;+58.241;18.0;1:38.624;198.97299999999998;2018;3;17;Chinese Grand Prix;Finished;Williams;British
2018-04-15;210;1;991;23838;154;8.0;10;17;0.0;56;+1:05.296;8.0;1:37.410;201.453;2018;3;17;Chinese Grand Prix;Finished;Haas F1 Team;American
2018-04-15;210;1;991;23831;825;20.0;11;10;1.0;56;+39.594;14.0;1:38.152;199.93;2018;3;17;Chinese Grand Prix;Finished;Haas F1 Team;American
2018-04-15;5;1;991;23839;842;10.0;17;18;0.0;56;+1:06.330;15.0;1:38.367;199.493;2018;3;17;Chinese Grand Prix;Finished;Toro Rosso;Italian
2018-04-15;6;1;991;23824;8;7.0;2;3;15.0;56;+9.637;3.0;1:36.456;203.446;2018;3;17;Chinese Grand Prix;Finished;Ferrari;Italian
2018-04-15;9;1;991;23822;817;3.0;6;1;25.0;56;1:35:36.380;1.0;1:35.785;204.87099999999998;2018;3;17;Chinese Grand Prix;Finished;Red Bull;Austrian
2018-04-29;6;1;992;23845;20;5.0;1;4;12.0;51;+5.329;4.0;1:45.530;204.783;2018;4;73;Azerbaijan Grand Prix;Finished;Ferrari;Italian
2018-04-29;10;1;992;23844;815;11.0;8;3;15.0;51;+4.024;6.0;1:46.206;203.48;2018;4;73;Azerbaijan Grand Prix;Finished;Force India;Indian
2018-04-29;6;1;992;23843;8;7.0;6;2;18.0;51;+2.460;7.0;1:46.523;202.87400000000002;2018;4;73;Azerbaijan Grand Prix;Finished;Ferrari;Italian
2018-04-29;210;3;992;23856;154;8.0;20;15;0.0;42;;10.0;1:46.880;202.196;2018;4;73;Azerbaijan Grand Prix;Accident;Haas F1 Team;American
2018-04-29;1;1;992;23850;838;2.0;16;9;2.0;51;+14.152;13.0;1:47.666;200.72;2018;4;73;Azerbaijan Grand Prix;Finished;McLaren;British
2018-04-29;4;1;992;23846;832;55.0;9;5;10.0;51;+7.515;9.0;1:46.856;202.24200000000002;2018;4;73;Azerbaijan Grand Prix;Finished;Renault;French
2018-04-29;3;4;992;23861;845;35.0;11;20;0.0;0;;0.0;;;2018;4;73;Azerbaijan Grand Prix;Collision;Williams;British
2018-04-29;210;1;992;23854;825;20.0;15;13;0.0;51;+40.663;16.0;1:48.155;199.813;2018;4;73;Azerbaijan Grand Prix;Finished;Haas F1 Team;American
2018-04-29;5;1;992;23851;843;28.0;19;10;1.0;51;+18.030;17.0;1:48.288;199.567;2018;4;73;Azerbaijan Grand Prix;Finished;Toro Rosso;Italian
2018-04-29;5;1;992;23853;842;10.0;17;12;0.0;51;+24.720;15.0;1:48.035;200.035;2018;4;73;Azerbaijan Grand Prix;Finished;Toro Rosso;Italian
2018-04-29;4;3;992;23859;807;27.0;14;18;0.0;10;;18.0;1:48.867;198.50599999999997;2018;4;73;Azerbaijan Grand Prix;Accident;Renault;French
