;constructorId;constructorRef;constructorName;constructorNationality
0;1;mclaren;McLaren;British
1;2;bmw_sauber;BMW Sauber;German
2;3;williams;Williams;British
3;4;renault;Renault;French
4;5;toro_rosso;Toro Rosso;Italian
5;6;ferrari;Ferrari;Italian
6;7;toyota;Toyota;Japanese
7;8;super_aguri;Super Aguri;Japanese
8;9;red_bull;Red Bull;Austrian
9;10;force_india;Force India;Indian
10;11;honda;Honda;Japanese
11;12;spyker;Spyker;Dutch
12;13;mf1;MF1;Russian
13;14;spyker_mf1;Spyker MF1;Dutch
14;15;sauber;Sauber;Swiss
15;16;bar;BAR;British
16;17;jordan;Jordan;Irish
17;18;minardi;Minardi;Italian
18;19;jaguar;Jaguar;British
19;20;prost;Prost;French
20;21;arrows;Arrows;British
21;22;benetton;Benetton;Italian
22;23;brawn;Brawn;British
23;24;stewart;Stewart;British
24;25;tyrrell;Tyrrell;British
25;26;lola;Lola;British
26;27;ligier;Ligier;French
27;28;forti;Forti;Italian
28;29;footwork;Footwork;British
29;30;pacific;Pacific;British
30;31;simtek;Simtek;British
31;32;team_lotus;Team Lotus;British
32;33;larrousse;Larrousse;French
33;34;brabham;Brabham;British
34;35;dallara;Dallara;Italian
35;36;fondmetal;Fondmetal;Italian
36;37;march;March;British
37;38;moda;Andrea Moda;Italian
38;39;ags;AGS;French
39;40;lambo;Lambo;Italian
40;41;leyton;Leyton House;British
41;42;coloni;Coloni;Italian
42;44;eurobrun;Euro Brun;Italian
43;45;osella;Osella;Italian
44;46;onyx;Onyx;British
45;47;life;Life;Italian
46;48;rial;Rial;German
47;49;zakspeed;Zakspeed;German
48;50;ram;RAM;British
49;51;alfa;Alfa Romeo;Italian
50;52;spirit;Spirit;British
51;53;toleman;Toleman;British
52;54;ats;ATS;Italian
53;55;theodore;Theodore;Hong Kong
54;56;fittipaldi;Fittipaldi;Brazilian
55;57;ensign;Ensign;British
56;58;shadow;Shadow;British
57;59;wolf;Wolf;Canadian
58;60;merzario;Merzario;Italian
59;61;kauhsen;Kauhsen;German
60;62;rebaque;Rebaque;Mexican
61;63;surtees;Surtees;British
62;64;hesketh;Hesketh;British
63;65;martini;Martini;French
64;66;brm;BRM;British
65;67;penske;Penske;American
66;68;lec;LEC;British
67;69;mcguire;McGuire;Australian
68;70;boro;Boro;Dutch
69;71;apollon;Apollon;Swiss
70;72;kojima;Kojima;Japanese
71;73;parnelli;Parnelli;American
72;74;maki;Maki;Japanese
73;75;hill;Embassy Hill;British
74;76;lyncar;Lyncar;British
75;77;trojan;Trojan;British
76;78;amon;Amon;New Zealand
77;79;token;Token;British
78;80;iso_marlboro;Iso Marlboro;British
79;81;tecno;Tecno;Italian
80;82;matra;Matra;French
81;83;politoys;Politoys;British
82;84;connew;Connew;British
83;85;bellasi;Bellasi;Swiss
84;86;tomaso;De Tomaso;Italian
