date;circuitId;circuitName;circuitRef;circuitLocation;circuitCountry;round;raceId;time;resultId;driverId;constructorId;number;grid_position;final_position;points;laps;laps_time;fastestLap;fastestLapTime;rank_fastestDriver;fastestLapSpeed;statusId;status
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20028;704;154;14;6;4;3.0;68;\N;\N;\N;\N;\N;12;+2 Laps
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20026;786;51;3;2;2;6.0;70;+2.6;\N;\N;\N;\N;1;Finished
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20027;686;51;4;4;3;4.0;70;+52.0;\N;\N;\N;\N;1;Finished
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20040;785;126;24;17;16;0.0;43;\N;\N;\N;\N;\N;7;Transmission
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20178;666;151;9;10;20;0.0;5;\N;\N;\N;\N;\N;6;Gearbox
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20044;661;151;9;10;20;0.0;5;\N;\N;\N;\N;\N;6;Gearbox
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20036;579;51;1;3;12;0.0;62;\N;\N;\N;\N;\N;44;Oil leak
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20029;627;154;15;9;5;2.0;68;\N;\N;\N;\N;\N;12;+2 Laps
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20025;642;51;2;1;1;9.0;70;2:13:23.6;\N;\N;\N;\N;1;Finished
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20043;789;154;17;7;19;0.0;8;\N;\N;\N;\N;\N;51;Oil pressure
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20030;619;151;12;13;6;0.0;67;\N;\N;\N;\N;\N;13;+3 Laps
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20031;787;151;11;15;7;0.0;67;\N;\N;\N;\N;\N;13;+3 Laps
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20042;589;105;19;11;18;0.0;26;\N;\N;\N;\N;\N;8;Clutch
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20038;669;105;21;5;14;0.0;49;\N;\N;\N;\N;\N;60;Out of fuel
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20032;741;154;16;14;8;0.0;65;\N;\N;\N;\N;\N;15;+5 Laps
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20037;776;126;23;19;13;0.0;57;\N;\N;\N;\N;\N;62;Not classified
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20041;640;105;20;8;17;0.0;36;\N;\N;\N;\N;\N;5;Engine
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20039;747;105;5;18;15;0.0;44;\N;\N;\N;\N;\N;5;Engine
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20034;778;105;10;20;10;0.0;64;\N;\N;\N;\N;\N;16;+6 Laps
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20035;660;154;18;21;11;0.0;64;\N;\N;\N;\N;\N;16;+6 Laps
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20177;788;105;10;20;10;0.0;64;\N;\N;\N;\N;\N;16;+6 Laps
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20033;784;105;6;16;9;0.0;64;\N;\N;\N;\N;\N;16;+6 Laps
1950-05-13;9;Silverstone Circuit;silverstone;Silverstone;UK;1.0;833;\N;20045;790;151;8;12;21;0.0;2;\N;\N;\N;\N;\N;126;Supercharger
1950-05-21;6;Circuit de Monaco;monaco;Monte-Carlo;Monaco;2.0;834;\N;20054;741;154;14;4;9;0.0;38;\N;\N;\N;\N;\N;44;Oil leak
1950-05-21;6;Circuit de Monaco;monaco;Monte-Carlo;Monaco;2.0;834;\N;20046;579;51;34;1;1;9.0;100;3:13:18.7;\N;\N;\N;\N;1;Finished
1950-05-21;6;Circuit de Monaco;monaco;Monte-Carlo;Monaco;2.0;834;\N;20052;660;154;6;19;7;0.0;94;\N;\N;\N;\N;\N;16;+6 Laps
1950-05-21;6;Circuit de Monaco;monaco;Monte-Carlo;Monaco;2.0;834;\N;20063;762;105;44;17;18;0.0;0;\N;\N;\N;\N;\N;3;Accident
1950-05-21;6;Circuit de Monaco;monaco;Monte-Carlo;Monaco;2.0;834;\N;20048;589;105;48;8;3;4.0;98;\N;\N;\N;\N;\N;12;+2 Laps
1950-05-21;6;Circuit de Monaco;monaco;Monte-Carlo;Monaco;2.0;834;\N;20055;498;105;2;3;10;0.0;1;\N;\N;\N;\N;\N;3;Accident
